"","text"
"370","@PakAjiMumpung @alfamart @gopayindonesia @Indomaret @ovo_id MUAHAHAHAHHAAHAHHAHA MANTAP!!! #2019AjiMumpung"
"371","Ngeliat aplikasi @linkaja yg skrg kaya liat aplikasi @ovo_id pas awal2...

@gopayindonesia &amp; @danawallet did better when it launched. Gw pake semuanya ditambah #sakuku dari BCA

*) Lol btw nama ""dana"" too general jadi susah cari akunnya &amp; ambigu
*) nama ""linkaja"" ga catchy ahh!"
"372","@gopayindonesia sy barusan top up uc pubg mobile make gopay ko uc sy belum update ya ? Apa lagi gangguan ?"
"373","@gopayindonesia @gojekindonesia @gojektech  sy barusan top up uc pubg mobile make gopay ko uc sy belum update ya ? Apa lagi gangguan ?"
"374","@ramayanads @gopayindonesia Kemarin belanja di Ramayana @SeasonCity , di both celana brand Edwin SPG nya sangat tidak ramah, kelihatan badmood waktu saya pilah pilih warna sama ukuran. Pas udh minta buatin tagihan malah asik ngobrol sendiri. Saya mau beli, bukan ngemis. Sangat mengecewakan !!"
"375","@gojekindonesia @gopayindonesia min cashback pay day saya blm masuk"
"376","@ramayanads @gopayindonesia Saya belanja 243.232 dapat cashback 10% 24.323 @khlarissa @yunilies #MassGoehJourney
#hugetidayir"
"377","@gopayindonesia halo min,  saya isi ulang gopay, blm masuk2 ya. Mohon bantuannya. Terina kasih."
"378","@gojekindonesia dear gojek. Mohon untuk proses  cashback belanja saya di Alfamart yah yang dilakukan dengan voucher 100rb alfamart itu. Soalnya sampai sekarang blm masuk cashbacknya. Many thanks. @gopayindonesia"
"379","@gojekindonesia @gopayindonesia sumpah ini tuh notifikasinya annoying banget anying. Gw udah bayar payleter nya kalee. Kok masih muncul aja 32 pesan. Udah gitu nggak bisa dihapus pula. Sumpah nggak sopan banget nagihnya https://t.co/6oDzeI0z4u"
"380","Pedes Sedep Festival | 27 Februari - 3 Maret 2019 | di Main Atrium - Emporium Mall Pluit | Dapatkan cashback sebesar 30% dari @gopayindonesia (maksimal cashback Rp10.000) | Organized by @garudaorganizer dan didukung oleh @duabelibis https://t.co/oRXVB2C8gN"
"381","@gopayindonesia kenapa cashback pembelian PLN saya blm masuk ya padahal sudah 2x24 jam?"
"382","@gopayindonesia kenapa voucher cmn 1, saya transaksi 2x, 2"" nya dpt voucher, tp pas saya cek cuman terdapat 1 voucher. gimana ini?"
"383","@gopayindonesia dear admin, knp saya tarik uang blm sampe2 di rekening saya? Dari kmrn sdh 24jam"
"384","@gopayindonesia min, kok saya isi gopay dr atm mandiri tp ga masuk, itu kenapa ya min?"
"385","Go-Pay memudahkan segalanya <U+0001F602> @gojekindonesia @gopayindonesia"
"386","@femnriz @autumnsair @tubirfess @gojekindonesia @gopayindonesia"
"387","@gopayindonesia @PakAjiMumpung di fb banyak bgt yg post mengeluh voucher mereka ga bisa dipakai baik yg 20 rupiah ataupun 20rb. kemaren saya juga mengalaminya tuker voucher deals yg 20rupiah. tulisannya error terus, untung baru tukerin 1 voucher saja."
"388","@gopayindonesia karena lihat di ada fb ada yg postingan katanya dia diharus bayar lg  (lupa produk yg mana) krn katanya itu cuma potongan, orangnya sudah nukar ke alfamartnya. dulu saya pernah ikut juga promo go deals ini dan ga nambah lg. setelah lihat postingan tsb saya tanya memastikan"
"389","@gopayindonesia min tadi kan saya beli go deals yg Rp 20 di alfamart. nah nanti saya tinggal ambil saja kan tdk perlu bayar lagi??"
"390","@gopayindonesia @tahilalats jawab kepo deh<U+0001F923>"
"391","@gopayindonesia @PakAjiMumpung voucher go deals ko banyak yg error ya min saat tuker di alfamartnya??? kl sdh seperti itu biasanya sdh ga bs dipakai. baru go deals yg sekarang aja kejadian sperti ini"
"392","@gopayindonesia kalo beli pulsa telkomsel pake gopulsa,apa dpt cashback ?"
"393","@gopayindonesia tadi pagi belanja di Alfamart pake gopay ,tp kok ga dpt cashback ya ?"
"394","@gopayindonesia Di bantuan cuma dikasih tau untuk close app dan buka lagi, saya udah ulang2 itu dan restart juga tapi tetep belum masuk. Di Inbox gak ada notif kalo udah received gopay soalnya. Urgent"
"395","@gopayindonesia halo, tolong bantuannya dong saya abis isi ulang gopay via mandiri mobile tapi kok gak masuk ya? Saldo mandiri udah kepotong, please advise ASAP, thank you"
"396","@gopayindonesia minn tolong baca dm saya donggg"
"397","@gopayindonesia tolong dibantu saya isi paket dengan go pulsa sampai sekarang belum masuk. Terima kasih https://t.co/Ehta7yGd67"
"398","@gopayindonesia promo alfamidi maret ini masih ga sih?"
"399","@zidhanchan Pake @gopayindonesia Aja"
"400","@mr_bonbon_2404 @gopayindonesia Sudah kami respon yah, Sahabat. :) ^ad"
"401","@windapedia @gopayindonesia Mohon maaf apakah yang dibeli produk JSM, Sahabat? :) ^ad"
"402","@rahadytma @gopayindonesia @alfamidi_ku Informasi lengkap mengenai promo bisa sahabat lihat di https://t.co/X9SmJb1wbi. <U+0001F642> ^dy"
"403","@nvp108 @sahabatalfamart @gopayindonesia Baik, Sahabat. Terima kasih :) ^dy"
"404","@nvp108 @sahabatalfamart @gopayindonesia Mohon maaf apakah sudah lebih dari 7x24 jam belum dihubungi pihak kami, Sahabat? :) ^ad"
"405","@adji3minarso @gopayindonesia Terima kasih sudah berbelanja ke Alfamart, Sahabat. :) ^ad"
"406","@bramuda @gojekindonesia @gopayindonesia @alfamidi_ku Promo 30% hanya berlaku di Alfamidi dan Dan+Dan, sedangkan untuk Alfamart promo 10%, Sahabat. :) ^ad"
"407","@mr_bonbon_2404 @gojekindonesia @gopayindonesia Iya, Sahabat. :) ^ad"
"408","@mr_bonbon_2404 @gojekindonesia @gopayindonesia Mohon maaf atas hal ini. Kirim keluhan ini melalui DM. Sertakan foto struknya juga ya sebagai bukti keluhan :) ^ad"
"409","@mr_bonbon_2404 @gopayindonesia Mohon maaf atas hal ini. Kirim keluhan ini melalui DM. Sertakan foto struknya juga ya sebagai bukti keluhan :) ^ad"
"410","@windapedia @gopayindonesia Mohon maaf untuk promo Gopay di Alfamart 10%. Sedangkan untuk 30% di Alfamidi dan Dan+Dan. Info lengkap promo silahkan klik https://t.co/hKOvz0kNkQ. :) ^ad"
"411","@yuniar_276 @alfamidi_ku @gojekindonesia @gopayindonesia Terima kasih sudah berbelanja di Alfamart, Sahabat. :) ^ad"
"412","@chair_unnisyah @gopayindonesia Kami mohon maaf atas hal ini. Silahkan sampaikan detail keluhan dan bukti keluhan melalui DM agar kami bisa menyampaikan keluhan ini ke pihak terkait. Terima kasih. <U+0001F642> ^dy"
"413","@windapedia @gopayindonesia Terima kasih kembali, Sahabat. :) ^ad"
"414","@puji_kurniawan2 @gopayindonesia @gojekindonesia Kami mohon maaf atas hal ini. Silahkan sampaikan detail keluhan dan bukti keluhan melalui DM agar kami bisa menyampaikan keluhan ini ke pihak terkait. Terima kasih. <U+0001F642> ^dy"
"415","@nvp108 @sahabatalfamart @gopayindonesia Mohon ditunggu terlebih dahulu yah, Sahabat. :) ^ad"
"416","@nvp108 @gopayindonesia @alfamart Baik. Mohon menunggu respon dari e-mail, Sahabat. :) ^ad"
"417","@nvp108 @alfamart @gopayindonesia Baik, Sahabat :) ^dy"
"418","@saefulloh67 @gopayindonesia Mohon menunggu yah, Sahabat. :) ^ad"
"419","@anitalkmn @gopayindonesia Mohon maaf apakah keluhan sudah dikirim melalui DM, Sahabat. :) ^ad"
"420","@saefulloh67 @gopayindonesia Mohon maaf bisa diinfokan riwayat Gopaynya melalui DM, Sahabat. :) ^ad"
"421","@ali_ig22 @gopayindonesia Kami mohon maaf atas hal ini. Silahkan sampaikan detail keluhan dan bukti keluhan melalui DM agar kami bisa menyampaikan keluhan ini ke pihak terkait. Terima kasih. <U+0001F642> ^dy"
"422","@anitalkmn @gopayindonesia Baik, Sahabat :) ^dy"
"423","Halo @gopayindonesia untuk program 6 alfamart kumpulan kupon 100.000 masih ada kan ya? Cashback yg masuk kok cuma 1 voucher ya <U+0001F602>"
"424","@gopayindonesia Sudah ya min"
"425","Demi saldo @gopayindonesia gue 50rb yg nyangkut di @gojekindonesia 
Gue dm gue rate 1 star dan review jelek biar ditengok 
Gue email juga.
Gue dm admin gojek.
Tapi belum2 juga kelar tu blokiran.
Masih ga bisa di tarik ke rekening tuh saldo."
"426","Sebelumnya juga pernah keblokir ni akun gojek yg ini. 
Terus gue telfonlah csnya @gojekindonesia dan dia bilang proses 2 hari. <U+0001F923><U+0001F923><U+0001F923>
Yaudah iya.
Pulsa yg kepotong cuma nelfon cs gojek : 15rb kan lumayan <U+0001F923>
@gopayindonesia"
"427","@gopayindonesia @gojekindonesia 
Gak perlu deh tuh akun dibuka blokirnya. Bantuin gue balikin aja ke rekening gue tuh sisa saldonya.
Rada nyesel juga jadinya ngisi gopay<U+0001F923>
Buka akub sebenernya ga lama lama amat si."
"428","@gopayindonesia permisi, saya mau menanyakan perihak layanan paylater. Saya sudah dapat layanannya, tetapi tidak bisa digunakan. Tapi malah ada fee. Apakah ini fee pendaftaran atau bagaimana ya? Trims https://t.co/mStkgl0xH6"
"429","@PakAjiMumpung @gopayindonesia Dengan go-pay semua senang. #2019AjiMumpung"
"430","@alfamart @sahabatalfamart @gopayindonesia udah solved, pagi ini saya ke Alfamart yang kemarin double payment dan dikembalikan tunai oleh kasirnya. trims"
"431","@gopayindonesia sudah saya email. cc: @sahabatalfamart @alfamart"
"432","@sahabatalfamart @gopayindonesia @alfamart pagi semua. ini SOP pengembalian saldo saya berapa lama? pasti ada SLA untuk ini. karena dari email, DM twitter tidak ada penjelasan. satu-satunya penjelasan hanya email 7x24 jam akan di konfirmasi bukan penjelasan kapan akan dikembalikan. terima kasih"
"433","@gopayindonesia pagi admin. pagi hari ini transaksi saya di Alfamart gagal dan saya memutuskan membayar secara tunai. tapi stelah saya cek saldo saya terpotong 2 (dua) kali. berikut capture struk dan history dari applikasi saya cc: @gojekindonesia https://t.co/e8hkaCMwaX"
"434","@alfamart @sahabatalfamart @gopayindonesia kalau kontak via email dan twitter sudah dan belum 7x24 jam. jadi ini saya harus menunggu pengembalian selama 7x24 jam?"
"435","Tolong sekali aku butuh akun ku balik hari ini @gojekindonesia @gopayindonesia"
"436","Ini gimana udah seminggu bikin laporan dan sampe sekrang belom ada kejelasan dari masalah tersebut ? Ya tolong lah dari kmren2 di tinjah kembali terus masa ? Servisnya sangat sangat buruk sekali ! @gojekindonesia @gopayindonesia"
"437","Sedih dari hari jum'at bikin laporan tapi sampai skarang ga dapet balesan apa2 , tolong lah lebih peduli kepada custemer , @gojekindonesia @gopayindonesia"
"438","Sudah seminggu lho kesel lama lama @gojekindonesia @gopayindonesia  aku cuma pengen saldo gopayku kembali, udah itu aja https://t.co/XZU6ncSSyu"
"439","Sudah email berkali kali tapi gak ada jawaban @gojekindonesia @gopayindonesia"
"440","Sedih ya cuma mau ngubah akun gojek ku gara2 ke log out secara sendiri lama banget :( harusnya ada option yg bisa masuk menggunakan email atau apa soalnya nomerku ilang dan udah ga aktif @gojekindonesia @gopayindonesia  aku cuma sayang saldo gopayku kalo sampe ga kembali parah si"
"441","@gopayindonesia @gojekindonesia Nunggunya harus sampe kapan lagi ?"
"442","Dari hari senin follow up terus kesel juga lama-lama, tolong lah saya bukan orang bodoh saya juga ngerti gimana caranya meagungkan seorang custemer @gojekindonesia @gopayindonesia"
"443","Gimana ya emg lama buat proses ganti nomer d akun gojek ? Soalnya nomor yg sbeelumnya ga bisa . Udah dpet telpon sih dari kantor gojek tapi sampe sekarang ga ada info aku udah bisa log in pake no yg baru apa ngga ? Aku mau pake gojek please @gopayindonesia @gojekindonesia"
"444","Selama ini ya untuk penyelesaian masalah di gojek udah 4 hari tapi belom ada titip terang , udah emal dr kemaren katanya 1x24 jam tapi sampe skarang ga ada keterangan ? Gimana ya ? Kecewa banget mau pake gojek tapi ya respon gojeknya begini @gojekindonesia @gopayindonesia"
"445","Bagaimana untuk kelanjutan akun saya ? Saya sangat kecewa dengan servis gojek ini Sangat mengecewakan , saya bikin laporan dari hari Jum'at tapi sampai saat ini saya tidak mendapatkan kejelasan @gojekindonesia @gopayindonesia"
"446","@gopayindonesia @gojekindonesia Dari senin kemaren di bantu follow up aja ga ada kejelasan , 06857732"
"447","sedih akutu kalo ga ada cashback @gopayindonesia di @alfamart sama @alfamidi_ku"
"448","lanjutan diskon gopay
jadi ga ngerti bedanya konsep cashback sm discount
terserah kau aj lah @gojekindonesia @gopayindonesia https://t.co/RMmzOmM3YJ"
"449","@gopayindonesia lg gangguan kah? Dr smlm ga bs dipakai bayar McD &amp; Alfamart."
"450","@trimeric @gojekindonesia @gopayindonesia Iya jg sii ric <U+0001F602>"
"451","@gopayindonesia @gojekindonesia Terimakasih telah menyamakan konsep DISCOUNT dengan CASHBACK."
"452","@gojekindonesia @gopayindonesia jd ini ceritanya diskon atau cashback? https://t.co/V6WHqsLc1J"
"453","@gojekindonesia Apakah uang saya hilang @McDonalds_ID @gopayindonesia"
"454","@gopayindonesia @gojekindonesia @McDonalds_ID saya baru aja transaksi pake gopay , berhasil di gopay, tapi ga masuk di mc d. Gimana ya nasib duit saya? https://t.co/6qWdFHqY9f"
"455","@gojekindonesia @gopayindonesia @McDonalds_ID ini history transaksi saya https://t.co/I0zYZ8sJAS"
"456","Sudah 3x beli voucher GoDeal @gojekindonesia @gopayindonesia Total Rp 60.000 tidak bisa dipakai.
1 utk @ShopeeID @ShopeeCare
1 utk @agoda 
1 utk @JDid @csjd_id dibatalkan Seller.
Semua tidak kembali. Rp 60.000 terbuang sia-sia !"
"457","terimakasih @gopayindonesia #GopayDay !"
"458","@gopayindonesia setelah beberapa kali bermasalah sama gopay, malem ini mulai lagi. Abis top up 200,000, udah berkurang saldo harian gue dan gak keisi. Please cek DM"
"459","@shannjeyare @womanfeeds @gopayindonesia @sociolla_id Gimana caranyaa <U+0001F62D>"
"460","@womanfeeds Last minute banget order wkwk gegara baru tau ada promo gopay jadinya bayar cuman 10rb an aja udah dpt bb cream ama aloe vera :’)) thank you @gopayindonesia @sociolla_id https://t.co/FWUuRw0OZ8"
"461","@gopayindonesia halo kak, saya kan tadi udah belanja di sociolla dan dapet cashback.. Kalau sekarang saya belanja lagi kira"" masih bisa dapet cashback gak ya?"
"462","@waniawaw @gopayindonesia mahasiswa mahasiswa <U+0001F602><U+0001F602><U+0001F602>"
"463","@Romlah2014 @detikcom @tribunnews @tempodotco @Beritasatu #zamanNow #grab aza #gojek aja @GrabID  @gojekindonesia promo @gopayindonesia @ovo_id atau naik #busway #kereta #MRT"
"464","Belum wajib zakat ? Bisa donasi dong ! Donasi di Dompet Dhuafa sekarang bisa melalui Go Pay. Kini donasi terbaikmu pada sesama bisa disalurkan dengan mudah melalui Go Pay @gopayindonesia https://t.co/QNbYV8lw0s"
"465","Kecewa dgn @WatsonsIndo. (Trans makassar)Mau belanja pakai promo 50% payday pakai gopay mlah di tolak dgn alasan minimal pembelanjaan hrs 50rb u/ mengunkan mesin gopaynya. Berbeda dr kentuan promo, yg mengatakan tdk ada minimal pmbelanjaan. Promonya tdk berlaku. @gopayindonesia https://t.co/foj0zlLUIC"
"466","Jajan gue Hari ini Di  @CJ_Lippomalls  
1.  @JcoIndonesia  beli 5 Rp 40K cashback 50% Rp 20K
2. @awrestaurants  paket chicken mix bowl Rp 35K cashback 50% Rp 17.500 , 
Total Rp 37.500 bayar pakai @gopayindonesia  promo payday https://t.co/zp1SvAwZcB"
"467","Beli pillow cake #fuwafuwaworld Rp 55K cashback Rp 20K pakai @gopayindonesia  lumayan jadi Rp 35K https://t.co/FqtunHfRn2"
"468","Aku gak ngerti cashback 50% tapi max.20k.

Jadi intinya cashbacknya cuma 20k?

Kaum +62 tolong jelaskan aku<U+0001F64F> @gopayindonesia @gojekindonesia"
"469","@glassbread_ @FNADIAAR @gopayindonesia @gojekindonesia Okaayy terima kasih banyak infonya <U+0001F64F>"
"470","@FNADIAAR @gopayindonesia @gojekindonesia Hooo yah gak sampe 50% itu dong? 

Kalo aku beli 100k cashbacknya cuma 20k dong yh?"
"471","@gopayindonesia tarik tunai bisa ke rekening BTPN Jenius?"
"472","Min tadikan aku ke borma setiabudhi bandung yaa, tapi mereka ga ada cashbacknya nanti lagi mah tolong dikasi tau tempatnya di mana aja yang ada cashbacknya gitu minnn, luvv<U+0001F618> @gopayindonesia kasi link juga gapapa deh yang penting jelas gitu<U+0001F495> makasih bettt #GopayPayday https://t.co/tyru0eSKn4"
"473","@gopayindonesia @PakAjiMumpung Thankyou @gopayindonesia @PakAjiMumpung hari ini dapat cashback banyak dari program #GOPAYpayday #ProgramGOPAY <U+0001F60D>
Sering² yhaaa..<U+0001F44C><U+0001F3FB><U+0001F609> https://t.co/KKw1YDKf5Z"
"474","@kotaroo___ Admin @gopayindonesia ketika menyaksikan semua ini: https://t.co/6e0UHPCy21"
"475","@gopayindonesia Pengaduan dr bulan lalu pun ga ada pencerahan. Sampe hari ini ga diterima juga itu Cashback nya https://t.co/4EkPviG26a"
"476","@gojekindonesia @gopayindonesia sudah berkali-kali ga dapet Cashback. Tolong dong dibantu.. dr waktu itu bikin pengaduan cuma disuruh nunggu 1X24 Jam. Nyatanya udh lewat berhari-hari ga dapet juga. Mengecewakan! https://t.co/5r49iHcOvx"
"477","@gopayindonesia Mau komplain, masa tadi musti pembelian min. 50rb di Burger King Sarinah buat dapet Cashback pdhl kemaren di Thamcit bs diatas 20rb. Terus Cashback saya dr JCo jg blm masuk"""
"478","@gopayindonesia malam admin, bisa dibantu untuk perihal pending cashback transaction saya? Thx before."
"479","@gopayindonesia @IchibanSushi_ID mrchant Ichiban Sushi Hartono Mall Yogya mnolak pmbyrn gopay dgn alsn pmblian take away
SHAME! #GOPAYpayday"
"480","Makin mudah! Buruan belanja di Dinomarket sekarang menggunakan @gopayindonesia dan dapatkan cashback nya! Ga pake ribet langsung belanja aja disini https://t.co/LGvsULu3ck
.
Lebih mudah tanya2 dan belanja melalui chat whatsapp di nomor 0811-11-3466. Happy Shopping All https://t.co/qrcQXVHYmb"
"481","Makin mudah! Buruan belanja di Dinomarket sekarang menggunakan @gopayindonesia dan dapatkan cashback nya! Ga pake ribet langsung belanja aja disini https://t.co/LGvsULu3ck
.
Lebih mudah tanya2 dan belanja melalui chat whatsapp di nomor 0811-11-3466. Happy Shopping All https://t.co/pnLJuBSMKn"
"482","hasil berburu gopay payday hari ini :)))) terima kasih <U+0001F64F> @gopayindonesia @gojekindonesia #GOPAYpayday #bakmigm #hokben https://t.co/Fht3UYpVCn"
"483","@prayougee @gopayindonesia @gojekindonesia https://t.co/Nh4PDksNWN"
"484","@prayougee @gopayindonesia @gojekindonesia tolong nanyanya yg sopan yha maz"
"485","@YogaPP25 @gopayindonesia @gojekindonesia Berburu gopaycar kapan?"
"486","@YogaPP25 @gopayindonesia @gojekindonesia Ulang ya 

""Maaf bukan maksud apa apa tapi maaf sebelumnya. 

""Kalau berburu gopaycar kapan kak"""
"487","@gopayindonesia @gojekindonesia @alfamart tadi belanja promo gantung di Alfamart koq sudah tdk dpt voucher ya? Katanya tiap akun berhak dapat 2x voucher dlm 1 periode promo gantung tgl 25 Pebruari-03 Maret 2019"
"488","@nglaleknomantan @gojekindonesia @gojektech @gopayindonesia Top up gopay pak?<U+0001F602><U+0001F602><U+0001F602>"
"489",". @gopayindonesia Anggap Kehadiran LinkAja Bisa Dorong Inklusi Keuangan https://t.co/q08jtQxTer #fintech #mobilepayment #FinancialInclusion https://t.co/SVb6dwZXZj"
"490","@gopayindonesia gimana nih saya ga transaksi Gobird kok kena transaksi charge berkali2? Kecewa. @gojekindonesia"
"491","@gopayindonesia halo kak.. cek dm ya kak.. makasih :)"
"492","Min @gojekindonesia @gopayindonesia udh 30mnt masih proses? Biasa nya ngga pernah tuh https://t.co/gBMY8PVdrp"
"493","@gopayindonesia @PakAjiMumpung Malang kok ga ada min?"
"494","Hallo @gojekindonesia @gojektech @gopayindonesia gopay day ga berlaku ya di malang? Kok ga ada daftar nya."
"495","@puji_kurniawan2 @gojekindonesia @gojektech @gopayindonesia Wis entek promone..hahaa"
"496","Terimaqasih payday:)) sering-sering bolehlaa @gopayindonesia"
"497","@lilbitsunset @FNADIAAR @gopayindonesia @gojekindonesia *dibawah 40K"
"498","@lilbitsunset @FNADIAAR @gopayindonesia @gojekindonesia Iya mbak, intinya kalo pembelian 40K, cashbacknya 50% nilai belanja, tapi kalo diatas itu contoh pembelian 50K sama 100K ya tetep mbak 20K cashbacknya"
"499","@lilbitsunset @gopayindonesia @gojekindonesia Intinya, klo km belanja 30K, cashback 15K kan 50%nya. Kl belanja 35K, cashback 17500. Kl belanja 48K, cashback 20K krn maks 20K gitu"
"500","It’s coffee o’clock!
Grab your favorite coffee and get 50% cash back by using @GoPayIndonesia <U+0001F4B0> https://t.co/U677seUAtR"
"501","@ridho_ns @gopayindonesia nga ternotice admin gopay :("
"502","@gopayindonesia @ridho_ns <U+0001F92F>"
"503","bang skripsi saya meneliti campaign #GOPAYpayday sampe poseng kepala sy nih kalo lulus traktir chatime dong hhhoooiiiiii @gopayindonesia asu"
"504","#GOPAYpayday. Cocok buat sobat misqien kek gue. Terimakasih gopay @gopayindonesia @kulo https://t.co/3712WzSBEi"
"505","@gopayindonesia Kabobs Ciwalk. Transaksi id 12c564a0"
"506","@gopayindonesia saya td beli di merchant, cuma cashback blm masuk sampe skrg, gimana ya??"
"507","@gopayindonesia Udah min"
"508","@gopayindonesia halo nder cashback nya ada minimum pembelian nya gak sik?"
"509","Siang ini menikmati Chatime Milk Tea Hazelnut, bayar pakai gopay, dapat cashback Rp 20.000,-. Terima kasih @gopayindonesia dan  @ChatimeIndo .<U+0001F917><U+0001F375> https://t.co/CG9cnL6W7k"
"510","Antrian bayar dgn @gopayindonesia di Kopi Janji Jiwa baru aja berkurang nih #foodie https://t.co/HVwteHfeES"
"511","Promo #gopayday @gopayindonesia masih lanjoottt di Kopi Janji Jiwa https://t.co/3fL8dUVEzm"
"512","@Mr_Enjoy_Aja @alfamart @gopayindonesia Gimana caranya?"
"513","@gopayindonesia @gojekindonesia Min diriku bayar pakai gopay di starbucks tapi cashbacknya belum di terima, gak seperti kemarin yang otomatis."
"514","#BelieveItOrNot buy Indomilk @alfamart only 20 IDR using @gopayindonesia<U+263A>
#Surabaya #Jakarta #Indonesia
#GopayPayday #Alfamart
#ProgramGopay https://t.co/zTHwMfhHNd"
"515","Last day #GopayPayday lunch @TexasIndonesia #Surabaya get cashback 50% using @gopayindonesia<U+263A>
#Jakarta #Indonesia #TexasChicken #GopayPromo https://t.co/boLrJ1gN9X"
"516","After lunch now drink #CincauStation  @TUNJUNGANPLAZA using @gopayindonesia &amp; get cashback50%<U+263A>
#Surabaya #Jakarta #Indonesia
#GopayPayday<U+0001F44D> https://t.co/0ZHaguX93x"
"517","Get cashback50% @GokanaResto @TUNJUNGANPLAZA use @gopayindonesia<U+263A>
#Surabaya #Jakarta #Semarang #GopayPromo<U+00023423>#Indonesia
#GopayPayday is back<U+0001F44D> https://t.co/aL3x5NtWkA"
"518","@gopayindonesia kenapa cashbacknya ga langsung masuk yaaaa?"
"519","@gopayindonesia Min, ak bayar pakai gopay di circle K. Pembayaran sukses, saldo gopay terpotong tp struk tdk keluar. Dan ak jg tdk dpt cashback. Gmn nih Min? Mksih."
"520","@gopayindonesia Hallo, gopay. Saya pakai gopai sudah lama, tapi kok ini sy makan di es teller77 gak ada cash backnya ya? Sy makan dengan teman2 sy 9 org tapi teman sy dapat cash back semua dan saya tidak, boleh dijawab ? <U+0001F625> Saya harus lapor masalah ini kemana ya? Tolong caranya https://t.co/zWFwcHbBi6"
"521","@gopayindonesia Min mau tanyak dong proses penarikan dana dr gopay ke rekening kita itu brp hari ya? Saya udah nunggu 24jam lbh tapi blm masuk"
"522","@gopayindonesia Tolong segera di proses yaaaa !"
"523","Sampai sekarang saldo gopay saya belum masuk @gopayindonesia 
Segera di proses ! https://t.co/VGMeCPTAXH"
"524","@gopayindonesia Ini yg kesekian kali, jaringan bagus nomer tdk dlm masa tenggang https://t.co/rRVq1yU3Ak"
"525","Kenapa beli pulsa pake go-pulsa gagal mulu sih~

@gojekindonesia @gopayindonesia"
"526","@gopayindonesia @gojekindonesia min saldo gopay kepotong pas order goride tapi dicancel, kapan kembalinya??"
"527","@gopayindonesia @gojekindonesia Oke min, tadi saya cancel karena kejauhan, tapi saldo kepotong."
"528","@gopayindonesia @gojekindonesia 
 Vc @alfamart d godeals rp.20
Knp slalu Gagal d tukar d alfamart A?Mo k alfamart B,kode udah kepake d alfamart A, jd gk bisa di pake di alfa lainnya lagi. :(
Padahal udah mau 24jam hilang dong nanti vouchernya. :(
Tolong bantu solusinya Kak. :("
"529","@MuhammadiyahGL 3. Nyedian EDC untuk gesek amal
4. Bisa Amal pake @ovo_id dan @gopayindonesia 
5. Bisa jumatan drive-thru"
"530","@gopayindonesia @tahilalats Gopayku tadi salah imput pin 3x, skarang gak bisa buat belanja keterangan terlalu banyak salah pin, tunggu beberapa saat dan coba lagi
Ini nunggunya berapa lama ya?"
"531","@gopayindonesia @tahilalats Terima kasih ya info nya
Oke saya tunggu sejam dulu"
"532","Kak @gopayindonesia GO-BILLS Postpaid untuk Telkomsel sedang trouble ya? :( Kira-kira kapan kelar maintenancenya ya? Takut kena tenggat H3H3"
"533","@Natalia_Bukit @gopayindonesia Tunggu ya kalau saham nya udh aku beli wkwkw<U+0001F61C>"
"534","@gopayindonesia selamat pagi,  
Saya mengalami kendala saat upgrade gopay, saya sudah upload foto ktp dan selfie tapi sampai sekarang sudah 3x24 jam masih upload document statusnya. Saya sudah email ke cs@go-pay.co.id tapi tidak ditanggapi sudah 2 hari sejak saya email. https://t.co/pvQtHlAlGB"
"535","@gopayindonesia Done, check dm ya min"
"536","Hi @gojekindonesia dan @gopayindonesia! Saya tadi pagi top-up Gopay. Yang pertama, gagal. Top-up lagi yang kedua, berhasil. Pas check mutasi BCA — ternyata yang pertama gagal tadi ke-deduct. Dapat notif katanya akan direfund, tapi udah seharian belum direfund juga. Any advise? <U+0001F914> https://t.co/Gpa13dpkoK"
"537","@gopayindonesia @gojekindonesia Boleh dipandu step by step? Sudah coba, tapi tidak ada menu yang bisa menjawab pertanyaan saya. Ujung-ujungnya apa ini saya disuruh kirim email? Is this real customer service 2.0, Gojek? <U+0001F92C>"
"538","@gopayindonesia @gojekindonesia Sent. Lengkap beserta screenshotsnya."
"539","@gojekindonesia nda bisa di DM @gojekindonesia yg bisa @gopayindonesia"
"540","@gojekindonesia sudah saya kirim DM ke @gopayindonesia"
"541","andai @gopayindonesia punya program didunia kesehatan misal ganti karet behel cashback 50 persen"
"542","@gojekindonesia @gopayindonesia nyusahin banget ya upgrade gopay. Udh upload foto sim sm selfie tp ditolak mulu katanya foto selfienya blur. Emg hasil selfienya disitu ntah knp jd jelek &amp; blur bgt, pdhl biasanya sy selfie pke kamera depan ga pernah sejelek itu hasilnya, jernih."
"543","@gopayindonesia ini lho tolong donk di follow up https://t.co/HYlk6bt4uh"
"544","Saya terima nikahnya Mawar bin Melati dengan mas kawin uang sebesar Rp. 10.000 dibayar Go-Pay. ""Sah!!!!""

Begitulah saya menikah nanti kalau pembayaran mahar bisa dilakukan dengan @gopayindonesia @gojekindonesia"
"545","@gopayindonesia min. Aku mau belanja di ilotte pake gopay kok ga muncul ya tulisan cashbacknya? Padahal ni akun pertama kali belanja di situ :( https://t.co/VkJBMfTd86"
"546","@ibluecancer @gojekindonesia @gopayindonesia Uda paling males sama tiputipu promo cashback/diskon/dll mau di travel fair/ecommerce/ePayment dll sama aja kebanyakan syarat"
"547","Gara-gara promo @gopayindonesia cashback 50% trus kalap beli minuman di Koma dua biji dihabisin sendiri. Kembung karepe dewe. Hm"
